,betweenness
HNRNPK,0.0023697643523037533
BCCIP,0.0022411290165050913
AIDA,0.002169534830817066
SEC23IP,0.0021073196959837353
TAOK2,0.0020505588118768635
APP,0.0019530801344734003
OAT,0.001870322899137369
GANAB,0.00181938056305893
SLC25A5,0.0017624597326423967
ARF4,0.0017258042571617065
TUBA1C,0.0016966889108185675
HNRNPM,0.0016324926989862525
ITGB1,0.001569583044833761
EEF1B2,0.0015592372924751142
ZNF136,0.0015035203209451055
DPY30,0.0014761219777516333
SPCS1,0.0014231297680617162
RPLP0,0.0014104441277972798
KDELR2,0.0013952960495940425
EIF4G2,0.0013628232507172326
